ISO-3166-1;Population;Date;Source
GRD;112003;1 Jul 2019;UN projection[2]
VCT;110608;1 Jul 2019;National estimate[174]
JEY;106800;31 Dec 2018;National estimate[175]
VIR;104578;1 Jul 2019;UN projection[2]
FSM;104468;1 Jul 2019;National annual projection[176]
TON;100651;30 Nov 2016;2016 census result[177]
SYC;97625;30 Jun 2019;National estimate[178]
ATG;96453;1 Jul 2019;National annual projection[179]
IMN;83314;24 Apr 2016;2016 census result[180]
AND;77543;31 Dec 2019;National estimate[181]
DMA;71808;1 Jul 2019;UN projection[2]
CYM;65813;31 Dec 2018;National estimate[182]
BMU;64027;1 Jul 2019;National annual projection[183]
GGY;62792;31 Mar 2019;National estimate[184]
WSM;56700;1 Jul 2018;National annual estimate[93]
GRL;56081;1 Jan 2020;National estimate[185]
MNP;56200;1 Jul 2018;National annual estimate[93]
MHL;55500;1 Jul 2018;National annual estimate[93]
 South Ossetia;53532;15 Oct 2015;Preliminary 2015 census result[186]
KNA;52823;1 Jul 2019;UN projection[2]
FRO;52124;1 Jan 2020;Monthly national estimate[187]
TCA;41369;1 Jul 2018;National estimate[188]
SXM;40614;1 Jan 2018;National estimate[189]
LIE;38557;30 Jun 2019;National semi annual estimate[190]
MCO;38300;31 Dec 2018;National annual estimate[191]
MAF;35746;1 Jan 2016;National estimate[192]
GBZ;33701;1 Jul 2019;UN projection[2]
SMR;33574;31 Dec 2019;National monthly estimate[193]
VGB;30030;1 Jul 2019;UN projection[2]
 Åland Islands (Finland);29789;31 Dec 2018;National annual estimate[194]
PLW;17900;1 Jul 2018;National annual estimate[93]
COK;15200;1 Jul 2018;National annual estimate[93]
AIA;14869;1 Jul 2019;UN projection[2]
WLF;11700;1 Jul 2018;National annual estimate[93]
NRU;11000;1 Jul 2018;National annual estimate[93]
TUV;10200;1 Jul 2018;National annual estimate[93]
BLM;9793;1 Jan 2016;National estimate[195]
SPM;6008;1 Jan 2016;National estimate[196]
SHN;5633;7 Feb 2016;2016 census result[197]
MSR;4989;1 Jul 2019;UN projection[2]
FLK;3198;9 Oct 2016;2016 census result[198]
CXR;1928;30 Jun 2018;National estimate[199]
NFK;1756;30 Jun 2018;National estimate[199]
NIU;1520;1 Jul 2018;National annual estimate[93]
TKL;1400;1 Jul 2018;National annual estimate[93]
VAT;799;1 Jul 2019;UN projection[2]
CCK;538;30 Jun 2018;National estimate[199]
PCN;50;1 Jan 2019;National estimate[200]
