Date;Region;Population;Tests;Confirmed;Deaths;Recovered
2020-02-16;Latin America;575907654;;0;0;0
2020-02-16;Middle East, North Africa;532839714;;11;0;5
2020-02-16;Subsaharan Africa;798663011;;0;0;0
2020-02-16;USA;329379809;2166;13;0;3
2020-02-16;W. Europe;359687692;;36;1;8
2020-02-17;Asia;3957174086;9265;72710;1867;12545
2020-02-17;C. Europe;64296279;80;0;0;0
2020-02-17;Carribean;21775009;;0;0;0
2020-02-17;Common Wealth;135529136;4501;32;0;19
2020-02-17;E. Europe;324658565;;2;0;2
2020-02-17;Israel;9166920;;0;0;0
2020-02-17;Latin America;575907654;;0;0;0
2020-02-17;Middle East, North Africa;532839714;;11;0;5
2020-02-17;Subsaharan Africa;798663011;;0;0;0
2020-02-17;USA;329379809;2199;13;0;3
2020-02-17;W. Europe;359687692;;36;1;9
2020-02-18;Asia;3957174086;10411;74500;2006;14303
2020-02-18;C. Europe;64296279;80;0;0;0
2020-02-18;Carribean;21775009;;0;0;0
2020-02-18;Common Wealth;135529136;4916;32;0;19
2020-02-18;E. Europe;324658565;;2;0;2
2020-02-18;Israel;9166920;;0;0;0
2020-02-18;Latin America;575907654;;0;0;0
2020-02-18;Middle East, North Africa;532839714;;11;0;5
2020-02-18;Subsaharan Africa;798663011;;0;0;0
2020-02-18;USA;329379809;2234;13;0;3
2020-02-18;W. Europe;359687692;;36;1;20
2020-02-19;Asia;3957174086;12161;74922;2119;16071
2020-02-19;C. Europe;64296279;82;0;0;0
2020-02-19;Carribean;21775009;;0;0;0
2020-02-19;Common Wealth;135529136;5216;32;0;19
2020-02-19;E. Europe;324658565;;2;0;2
2020-02-19;Israel;9166920;;0;0;0
2020-02-19;Latin America;575907654;;0;0;0
2020-02-19;Middle East, North Africa;532839714;;13;2;5
2020-02-19;Subsaharan Africa;798663011;;0;0;0
2020-02-19;USA;329379809;2300;13;0;3
2020-02-19;W. Europe;359687692;;36;1;20
2020-02-20;Asia;3957174086;14816;75464;2242;18127
2020-02-20;C. Europe;64296279;82;0;0;0
2020-02-20;Carribean;21775009;;0;0;0
2020-02-20;Common Wealth;135529136;5549;32;0;19
2020-02-20;E. Europe;324658565;;2;0;2
2020-02-20;Israel;9166920;;0;0;0
2020-02-20;Latin America;575907654;;0;0;0
2020-02-20;Middle East, North Africa;532839714;;16;2;5
2020-02-20;Subsaharan Africa;798663011;;0;0;0
2020-02-20;USA;329379809;2355;13;0;3
2020-02-20;W. Europe;359687692;;36;1;20
2020-02-21;Asia;3957174086;19621;76051;2243;18833
2020-02-21;C. Europe;64296279;82;0;0;0
2020-02-21;Carribean;21775009;;0;0;0
2020-02-21;Common Wealth;135529136;5885;33;0;22
2020-02-21;E. Europe;324658565;;2;0;2
2020-02-21;Israel;9166920;;1;0;0
2020-02-21;Latin America;575907654;;0;0;0
2020-02-21;Middle East, North Africa;532839714;;30;4;5
2020-02-21;Subsaharan Africa;798663011;;0;0;0
2020-02-21;USA;329379809;2607;15;0;5
2020-02-21;W. Europe;359687692;;53;2;22
2020-02-22;Asia;3957174086;22633;77748;2448;22828
2020-02-22;C. Europe;64296279;83;0;0;0
2020-02-22;Carribean;21775009;;0;0;0
2020-02-22;Common Wealth;135529136;6152;33;0;22
2020-02-22;E. Europe;324658565;;2;0;2
2020-02-22;Israel;9166920;;1;0;0
2020-02-22;Latin America;575907654;;0;0;0
2020-02-22;Middle East, North Africa;532839714;;44;5;5
2020-02-22;Subsaharan Africa;798663011;;0;0;0
2020-02-22;USA;329379809;2865;15;0;5
2020-02-22;W. Europe;359687692;;95;3;23
2020-02-23;Asia;3957174086;28615;77969;2454;23336
2020-02-23;C. Europe;64296279;86;0;0;0
2020-02-23;Carribean;21775009;;0;0;0
2020-02-23;Common Wealth;135529136;6324;33;0;22
2020-02-23;E. Europe;324658565;;2;0;2
2020-02-23;Israel;9166920;;1;0;0
2020-02-23;Latin America;575907654;;0;0;0
2020-02-23;Middle East, North Africa;532839714;;59;8;5
2020-02-23;Subsaharan Africa;798663011;;0;0;0
2020-02-23;USA;329379809;2934;15;0;5
2020-02-23;W. Europe;359687692;;188;4;24
2020-02-24;Asia;3957174086;36716;78433;2606;25170
2020-02-24;C. Europe;64296279;98;0;0;0
2020-02-24;Carribean;21775009;;0;0;0
2020-02-24;Common Wealth;135529136;6536;38;0;22
2020-02-24;E. Europe;324658565;;2;0;2
2020-02-24;Israel;9166920;;1;0;0
2020-02-24;Latin America;575907654;;0;0;0
2020-02-24;Middle East, North Africa;532839714;;83;12;5
2020-02-24;Subsaharan Africa;798663011;;0;0;0
2020-02-24;USA;329379809;2998;15;0;5
2020-02-24;W. Europe;359687692;;262;8;23
2020-02-25;Asia;3957174086;46127;79106;2678;27840
2020-02-25;C. Europe;64296279;112;0;0;0
2020-02-25;Carribean;21775009;;0;0;0
2020-02-25;Common Wealth;135529136;6795;39;0;22
2020-02-25;E. Europe;324658565;;3;0;2
2020-02-25;Israel;9166920;;1;0;0
2020-02-25;Latin America;575907654;;0;0;0
2020-02-25;Middle East, North Africa;532839714;;150;16;5
2020-02-25;Subsaharan Africa;798663011;;0;0;0
2020-02-25;USA;329379809;3060;15;0;6
2020-02-25;W. Europe;359687692;218;365;11;30
2020-02-26;Asia;3957174086;57990;79829;2733;30257
2020-02-26;C. Europe;64296279;135;0;0;0
2020-02-26;Carribean;21775009;;0;0;0
2020-02-26;Common Wealth;135529136;7132;39;0;22
2020-02-26;E. Europe;324658565;;8;0;2
2020-02-26;Israel;9166920;;2;0;0
2020-02-26;Latin America;575907654;;1;0;0
2020-02-26;Middle East, North Africa;532839714;;226;19;54
2020-02-26;Subsaharan Africa;798663011;;0;0;0
2020-02-26;USA;329379809;3165;15;0;6
2020-02-26;W. Europe;359687692;10545;521;14;33
2020-02-27;Asia;3957174086;70940;80794;2765;33103
2020-02-27;C. Europe;64296279;170;0;0;0
2020-02-27;Carribean;21775009;;0;0;0
2020-02-27;Common Wealth;135529136;7690;43;0;25
2020-02-27;E. Europe;324658565;;9;0;2
2020-02-27;Israel;9166920;;3;0;1
2020-02-27;Latin America;575907654;;1;0;0
2020-02-27;Middle East, North Africa;532839714;;351;26;54
2020-02-27;Subsaharan Africa;798663011;;0;0;0
2020-02-27;USA;329379809;3350;16;0;6
2020-02-27;W. Europe;359687692;1336;782;19;76
2020-02-28;Asia;3957174086;85693;81710;2809;36509
2020-02-28;C. Europe;64296279;193;0;0;0
2020-02-28;Carribean;21775009;;0;0;0
2020-02-28;Common Wealth;135529136;8986;50;0;25
2020-02-28;E. Europe;324658565;;15;0;2
2020-02-28;Israel;9166920;;4;0;1
2020-02-28;Latin America;575907654;;2;0;0
2020-02-28;Middle East, North Africa;532839714;;505;34;80
2020-02-28;Subsaharan Africa;798663011;;1;0;0
2020-02-28;USA;329379809;3588;16;0;7
2020-02-28;W. Europe;359687692;1745;1060;23;77
2020-02-29;Asia;3957174086;96985;82983;2860;39528
2020-02-29;C. Europe;64296279;200;0;0;0
2020-02-29;Carribean;21775009;;0;0;0
2020-02-29;Common Wealth;135529136;10460;69;0;25
2020-02-29;E. Europe;324658565;;16;0;2
2020-02-29;Israel;9166920;;7;0;1
2020-02-29;Latin America;575907654;;6;0;0
2020-02-29;Middle East, North Africa;532839714;;728;43;131
2020-02-29;Subsaharan Africa;798663011;;1;0;0
2020-02-29;USA;329379809;3931;24;1;7
2020-02-29;W. Europe;359687692;2702;1428;31;78
2020-03-01;Asia;3957174086;98921;84169;2898;42373
2020-03-01;C. Europe;64296279;211;3;0;0
2020-03-01;Carribean;21775009;;1;0;0
2020-03-01;Common Wealth;135529136;11750;88;1;25
2020-03-01;E. Europe;324658565;;23;0;2
2020-03-01;Israel;9166920;;10;0;1
2020-03-01;Latin America;575907654;;13;0;0
2020-03-01;Middle East, North Africa;532839714;;1134;54;183
2020-03-01;Subsaharan Africa;798663011;;1;0;0
2020-03-01;USA;329379809;4185;30;1;7
2020-03-01;W. Europe;359687692;3245;2148;36;115
2020-03-02;Asia;3957174086;111328;84998;2951;45077
2020-03-02;C. Europe;64296279;262;3;0;0
2020-03-02;Carribean;21775009;;1;0;0
2020-03-02;Common Wealth;135529136;13525;98;1;25
2020-03-02;E. Europe;324658565;;25;0;2
2020-03-02;Israel;9166920;;10;0;1
2020-03-02;Latin America;575907654;;13;0;0
2020-03-02;Middle East, North Africa;532839714;940;1684;66;299
2020-03-02;Subsaharan Africa;798663011;;2;0;0
2020-03-02;USA;329379809;4786;53;6;7
2020-03-02;W. Europe;359687692;29144;2669;55;181
2020-03-03;Asia;3957174086;125851;86004;2984;47688
2020-03-03;C. Europe;64296279;340;5;0;0
2020-03-03;Carribean;21775009;;1;0;0
2020-03-03;Common Wealth;135529136;13911;121;1;25
2020-03-03;E. Europe;324658565;;29;0;2
2020-03-03;Israel;9166920;;12;0;1
2020-03-03;Latin America;575907654;;16;0;1
2020-03-03;Middle East, North Africa;532839714;;2544;77;300
2020-03-03;Subsaharan Africa;798663011;;3;0;0
2020-03-03;USA;329379809;5586;73;7;7
2020-03-03;W. Europe;359687692;29353;3281;85;194
2020-03-04;Asia;3957174086;136707;86639;3027;50250
2020-03-04;C. Europe;64296279;407;11;0;0
2020-03-04;Carribean;21775009;;1;0;0
2020-03-04;Common Wealth;135529136;16659;174;2;25
2020-03-04;E. Europe;324658565;;36;0;3
2020-03-04;Israel;9166920;;15;0;1
2020-03-04;Latin America;575907654;;21;0;1
2020-03-04;Middle East, North Africa;532839714;;3148;94;562
2020-03-04;Subsaharan Africa;798663011;;5;0;0
2020-03-04;USA;329379809;6731;104;11;7
2020-03-04;W. Europe;359687692;33703;4215;114;311
2020-03-05;Asia;3957174086;146541;87301;3059;52541
2020-03-05;C. Europe;64296279;483;15;0;0
2020-03-05;Carribean;21775009;;1;0;0
2020-03-05;Common Wealth;135529136;18083;211;3;35
2020-03-05;E. Europe;324658565;;48;0;3
2020-03-05;Israel;9166920;;20;0;1
2020-03-05;Latin America;575907654;;27;0;1
2020-03-05;Middle East, North Africa;532839714;;3756;109;749
2020-03-05;Subsaharan Africa;798663011;;6;0;0
2020-03-05;USA;329379809;8251;172;12;7
2020-03-05;W. Europe;359687692;36669;5574;159;449
2020-03-06;Asia;3957174086;164740;88074;3095;54290
2020-03-06;C. Europe;64296279;594;26;0;0
2020-03-06;Carribean;21775009;;2;0;0
2020-03-06;Common Wealth;135529136;20338;277;4;35
2020-03-06;E. Europe;324658565;51000;76;0;3
2020-03-06;Israel;9166920;;37;0;2
2020-03-06;Latin America;575907654;;41;0;1
2020-03-06;Middle East, North Africa;532839714;;5023;127;927
2020-03-06;Subsaharan Africa;798663011;;8;0;0
2020-03-06;USA;329379809;9955;217;14;7
2020-03-06;W. Europe;359687692;42309;7262;214;560
2020-03-07;Asia;3957174086;178189;88669;3125;55916
2020-03-07;C. Europe;64296279;787;29;0;0
2020-03-07;Carribean;21775009;;2;0;0
2020-03-07;Common Wealth;135529136;21460;329;4;47
2020-03-07;E. Europe;324658565;;81;0;5
2020-03-07;Israel;9166920;;43;0;2
2020-03-07;Latin America;575907654;;47;0;1
2020-03-07;Middle East, North Africa;532839714;;6157;149;1685
2020-03-07;Subsaharan Africa;798663011;;8;0;0
2020-03-07;USA;329379809;11452;336;17;7
2020-03-07;W. Europe;359687692;48742;9356;257;655
2020-03-08;Asia;3957174086;188518;89085;3159;57751
2020-03-08;C. Europe;64296279;928;52;0;0
2020-03-08;Carribean;21775009;;5;0;0
2020-03-08;Common Wealth;135529136;23513;419;6;47
2020-03-08;E. Europe;324658565;;115;0;6
2020-03-08;Israel;9166920;;61;0;2
2020-03-08;Latin America;575907654;;74;1;1
2020-03-08;Middle East, North Africa;532839714;;6972;201;2151
2020-03-08;Subsaharan Africa;798663011;;11;0;1
2020-03-08;USA;329379809;12910;452;21;7
2020-03-08;W. Europe;359687692;57152;11785;408;688
2020-03-09;Asia;3957174086;196618;89340;3189;59169
2020-03-09;C. Europe;64296279;1193;59;0;0
2020-03-09;Carribean;21775009;;5;0;0
2020-03-09;Common Wealth;135529136;24960;495;8;47
2020-03-09;E. Europe;324658565;;123;0;7
2020-03-09;Israel;9166920;;61;0;2
2020-03-09;Latin America;575907654;;85;1;1
2020-03-09;Middle East, North Africa;532839714;;7591;244;2424
2020-03-09;Subsaharan Africa;798663011;;12;0;1
2020-03-09;USA;329379809;15622;517;22;7
